,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
47,PA,2005,61518,6.82,D,27.7,83.7,131,155.4,137.4,62.9,13.3,7.8,23.5,31.7,23.5,14.9,8,2.7,48.2,29.2,80.1,108,100.8,45,8.6,6.82,6.82,195.3,6.82,6.82
48,RI,2005,65749,8.94,R,32.5,82.3,121.2,151,145.6,69.6,16.8,11.4,30.2,40.7,31.2,20.1,9.5,4,40.9,27.8,63.7,97.3,102.9,49.3,10.3,6.82,8.94,195.3,8.94,8.94
49,SC,2005,53453,0,R,44.7,120.8,164.4,157.3,113.7,50.3,10.1,11,22.5,28,21.2,14.8,7.7,2.4,80,48.7,111.3,111.6,81.2,34.9,6.2,6.82,6.82,195.3,0,0
50,SD,2005,57334,6.82,R,27,84,147.3,201.3,133.2,57.3,10.7,3.8,8.1,11.9,9.6,6.4,3.7,1.1,62.6,36.8,111.9,159,105.1,44.4,7.9,6.82,6.82,195.3,6.82,6.82
51,TN,2005,52358,0,D,39.2,134.9,172,155.3,104.3,45,8.8,6.5,20,26,18.7,11.3,5.9,1.5,94,53.3,119.5,112.3,76.6,32.2,6,6.82,6.82,195.3,0,0
52,TX,2005,55037,6.82,R,49.7,145.4,191.4,182.2,132,63.6,14.2,6.6,22.7,34.1,26.6,15.7,9.1,3.3,100.3,60.9,128.2,127.5,95.6,44.7,8.8,6.82,6.82,195.3,6.82,6.82
53,US,2005,61553,,R,37.8,116,164.7,172,135.6,66.8,15.4,11.4,30.9,38.7,29.3,17.8,10.1,3.4,68.4,39.7,101.8,116.5,96.7,46.4,9.7,,,,,
54,UT,2005,72829,6.82,R,22.1,70.3,162.2,229.9,152.7,69.3,14.2,3.3,8.8,10,8.7,6,4.7,1.4,50.6,30.5,126,183.6,121.8,53.5,10.5,6.82,6.82,195.3,6.82,6.82
55,VA,2005,68977,6.82,D,29.7,103.6,155.5,165.2,136.7,70.6,16.5,9.3,29.9,39.6,29.1,16.9,9.4,3.3,59,33.6,93.3,111,98.5,50.2,10.7,6.82,6.82,195.3,6.82,6.82
56,VA,2005,68977,6.82,D,29.7,103.6,155.5,165.2,136.7,70.6,16.5,9.3,29.9,39.6,29.1,16.9,9.4,3.3,59,33.6,93.3,111,98.5,50.2,10.7,6.82,6.82,195.3,6.82,6.82
